id,"name",score,character,appointment,history,stickiness,relations,"analyze"
73379,"abc",424,0.33,0.51,0.4,0.57,0.58,NULL
73877,"abc",449,0.39,0.51,0.4,0.57,0.7,NULL
74539,"abc",494,0.45,0.63,0.4,0.57,0.62,NULL
74752,"abc",480,0.45,0.63,0.4,0.57,0.62,NULL
77813,"abc",522,0.51,0.63,0.4,0.57,0.74,NULL
77840,"abc",492,0.6072,0.51,0.4,0.57,0.52,NULL
78503,"abc",446,0.39,0.51,0.4,0.57,0.7,NULL
79545,"abc",453,0.39,0.51,0.4,0.57,0.7,NULL
79611,"abc",422,0.3,0.51,0.4,0.57,0.52,NULL
80004,"abc",446,0.39,0.51,0.4,0.57,0.7,NULL
80053,"abc",478,0.39,0.51,0.4,0.57,0.7,NULL
80204,"abc",448,0.33,0.51,0.4,0.57,0.58,NULL
80544,"abc",449,0.39,0.51,0.4,0.57,0.7,NULL
80727,"abc",428,0.33,0.51,0.4,0.57,0.58,NULL
80745,"abc",443,0.39,0.51,0.4,0.57,0.7,NULL
80786,"abc",422,0.3,0.51,0.4,0.57,0.52,NULL
80861,"abc",447,0.33,0.51,0.4,0.57,0.58,NULL
81172,"abc",441,0.33,0.51,0.4,0.57,0.58,NULL
81730,"abc",441,0.39,0.51,0.4,0.57,0.7,NULL
82437,"abc",454,0.33,0.51,0.4,0.57,0.58,NULL
85215,"abc",415,0.33,0.51,0.4,0.57,0.58,NULL
85620,"abc",507,0.5436,0.51,0.4,0.57,0.7,NULL
86890,"abc",489,0.6116,0.51,0.4,0.57,0.58,NULL
86994,"abc",441,0.33,0.51,0.4,0.57,0.58,NULL
87295,"abc",454,0.33,0.51,0.4,0.57,0.58,NULL
87593,"abc",501,0.51,0.63,0.4,0.57,0.74,NULL
87993,"abc",466,0.39,0.51,0.4,0.57,0.7,NULL
88001,"abc",475,0.39,0.51,0.4,0.57,0.7,NULL
88066,"abc",484,0.39,0.51,0.4,0.57,0.7,NULL
88151,"abc",478,0.39,0.51,0.4,0.57,0.7,NULL
88916,"abc",446,0.39,0.51,0.4,0.57,0.7,NULL
89031,"abc",485,0.39,0.51,0.4,0.57,0.7,NULL
89733,"abc",452,0.6072,0.51,0.4,0.57,0.52,NULL
91124,"abc",483,0.6332,0.51,0.4,0.57,0.7,NULL
93058,"abc",440,0.33,0.51,0.4,0.57,0.58,NULL
93194,"abc",461,0.45,0.63,0.4,0.57,0.62,NULL
93197,"abc",415,0.33,0.51,0.4,0.57,0.58,NULL
96078,"abc",493,0.6244,0.51,0.4,0.57,0.58,NULL
96092,"abc",451,0.33,0.51,0.4,0.57,0.58,NULL
97453,"abc",503,0.41,0.65,0.6,0.57,0.62,NULL
97991,"abc",518,0.41,0.65,0.6,0.57,0.62,NULL
99015,"abc",542,0.47,0.65,0.6,0.57,0.74,NULL
99280,"abc",592,0.59,0.77,0.6,0.57,0.78,NULL
100065,"abc",527,0.6148,0.65,0.6,0.57,0.62,NULL
100443,"abc",567,0.51,0.72,0.7,0.57,0.76,NULL
100696,"abc",489,0.41,0.65,0.6,0.57,0.62,NULL
100817,"abc",579,0.59,0.77,0.6,0.57,0.78,NULL
102437,"abc",478,0.38,0.65,0.6,0.57,0.56,NULL
102924,"abc",500,0.41,0.65,0.6,0.57,0.62,NULL
103562,"abc",511,0.38,0.65,0.6,0.57,0.56,NULL
105495,"abc",577,0.7172,0.65,0.6,0.57,0.62,NULL
106068,"abc",554,0.53,0.77,0.6,0.57,0.66,NULL
106204,"abc",549,0.53,0.77,0.6,0.57,0.66,NULL
107055,"abc",504,0.41,0.65,0.6,0.57,0.62,NULL
107136,"abc",528,0.4956,0.65,0.6,0.57,0.74,NULL
107147,"abc",586,0.59,0.77,0.6,0.57,0.78,NULL
108631,"abc",628,0.85,0.77,0.6,0.57,0.66,NULL
108654,"abc",531,0.41,0.65,0.6,0.57,0.62,NULL
108691,"abc",498,0.38,0.65,0.6,0.57,0.56,NULL
108845,"abc",570,0.53,0.77,0.6,0.57,0.66,NULL
109502,"abc",490,0.41,0.65,0.6,0.57,0.62,NULL
109795,"abc",512,0.41,0.65,0.6,0.57,0.62,NULL
110062,"abc",506,0.38,0.65,0.6,0.57,0.56,NULL
110201,"abc",579,0.51,0.72,0.7,0.57,0.76,NULL
110301,"abc",540,0.6744,0.65,0.6,0.57,0.56,NULL
110809,"abc",582,0.7172,0.65,0.6,0.57,0.62,NULL
110817,"abc",493,0.41,0.65,0.6,0.57,0.62,NULL
110821,"abc",550,0.6148,0.65,0.6,0.57,0.62,NULL
111131,"abc",518,0.41,0.65,0.6,0.57,0.62,NULL
111815,"abc",601,0.59,0.77,0.6,0.57,0.78,NULL
112046,"abc",571,0.45,0.72,0.7,0.57,0.64,NULL
113008,"abc",529,0.41,0.65,0.6,0.57,0.62,NULL
113159,"abc",573,0.59,0.77,0.6,0.57,0.78,NULL
113413,"abc",564,0.666,0.65,0.6,0.57,0.62,NULL
114042,"abc",553,0.5848,0.65,0.6,0.57,0.56,NULL
114370,"abc",497,0.41,0.65,0.6,0.57,0.62,NULL
114796,"abc",603,0.6964,0.77,0.6,0.57,0.66,NULL
115236,"abc",524,0.41,0.65,0.6,0.57,0.62,NULL
115433,"abc",491,0.41,0.65,0.6,0.57,0.62,NULL
115629,"abc",520,0.41,0.65,0.6,0.57,0.62,NULL
117622,"abc",414,0.3,0.51,0.4,0.57,0.52,NULL
117708,"abc",472,0.39,0.51,0.4,0.57,0.7,NULL
117763,"abc",535,0.6844,0.51,0.4,0.57,0.7,NULL
117976,"abc",441,0.33,0.51,0.4,0.57,0.58,NULL
118338,"abc",406,0.3,0.51,0.4,0.57,0.52,NULL
120281,"abc",463,0.39,0.51,0.4,0.57,0.7,NULL
120557,"abc",472,0.39,0.51,0.4,0.57,0.7,NULL
120627,"abc",444,0.33,0.51,0.4,0.57,0.58,NULL
120827,"abc",463,0.6116,0.51,0.4,0.57,0.58,NULL
121416,"abc",429,0.33,0.51,0.4,0.57,0.58,NULL
122249,"abc",443,0.33,0.51,0.4,0.57,0.58,NULL
122376,"abc",470,0.45,0.63,0.4,0.57,0.62,NULL
123690,"abc",571,0.47,0.65,0.6,0.81,0.74,NULL
124113,"abc",545,0.41,0.65,0.6,0.81,0.62,NULL
124165,"abc",543,0.41,0.65,0.6,0.81,0.62,NULL
124374,"abc",539,0.45,0.63,0.4,0.81,0.62,NULL
124408,"abc",571,0.47,0.65,0.6,0.81,0.74,NULL
125248,"abc",629,0.79,0.65,0.6,0.81,0.74,NULL
125636,"abc",634,0.59,0.77,0.6,0.81,0.78,NULL
125728,"abc",561,0.41,0.65,0.6,0.81,0.62,NULL
126108,"abc",566,0.41,0.65,0.6,0.81,0.62,NULL
127339,"abc",650,0.59,0.77,0.6,0.81,0.78,NULL
127370,"abc",569,0.41,0.65,0.6,0.81,0.62,NULL
127892,"abc",538,0.41,0.65,0.6,0.81,0.62,NULL
128116,"abc",539,0.41,0.65,0.6,0.81,0.62,NULL
128760,"abc",541,0.41,0.65,0.6,0.81,0.62,NULL
129202,"abc",576,0.47,0.65,0.6,0.81,0.74,NULL
129691,"abc",619,0.53,0.77,0.6,0.81,0.66,NULL
130387,"abc",610,0.53,0.77,0.6,0.81,0.66,NULL
130508,"abc",611,0.53,0.77,0.6,0.81,0.66,NULL
130760,"abc",517,0.38,0.65,0.6,0.81,0.56,NULL
130926,"abc",630,0.7644,0.65,0.6,0.81,0.74,NULL
131825,"abc",534,0.41,0.65,0.6,0.81,0.62,NULL
131835,"abc",570,0.47,0.65,0.6,0.81,0.74,NULL
132352,"abc",571,0.41,0.65,0.6,0.81,0.62,NULL
132488,"abc",628,0.726,0.65,0.6,0.81,0.74,NULL
133085,"abc",575,0.47,0.65,0.6,0.81,0.74,NULL
133425,"abc",545,0.41,0.65,0.6,0.81,0.62,NULL
135376,"abc",621,0.53,0.77,0.6,0.81,0.66,NULL
136821,"abc",651,0.59,0.77,0.6,0.81,0.78,NULL
137867,"abc",562,0.47,0.65,0.6,0.81,0.74,NULL
138105,"abc",572,0.41,0.65,0.6,0.81,0.62,NULL
138489,"abc",599,0.6788,0.65,0.6,0.81,0.62,NULL
138543,"abc",617,0.7044,0.65,0.6,0.81,0.62,NULL
140184,"abc",540,0.41,0.65,0.6,0.81,0.62,NULL
140385,"abc",569,0.41,0.65,0.6,0.81,0.62,NULL
140421,"abc",594,0.47,0.65,0.6,0.81,0.74,NULL
140761,"abc",552,0.41,0.65,0.6,0.81,0.62,NULL
142216,"abc",571,0.41,0.65,0.6,0.81,0.62,NULL
142401,"abc",584,0.47,0.65,0.6,0.81,0.74,NULL
142460,"abc",597,0.47,0.65,0.6,0.81,0.74,NULL
142643,"abc",592,0.47,0.65,0.6,0.81,0.74,NULL
143159,"abc",555,0.41,0.65,0.6,0.81,0.62,NULL
144134,"abc",624,0.7604,0.77,0.6,0.81,0.66,NULL
144520,"abc",656,0.7944,0.77,0.6,0.81,0.6,NULL
144568,"abc",586,0.6788,0.65,0.6,0.81,0.62,NULL
145965,"abc",587,0.47,0.65,0.6,0.81,0.74,NULL
146009,"abc",548,0.41,0.65,0.6,0.81,0.62,NULL
146656,"abc",572,0.41,0.65,0.6,0.81,0.62,NULL
147098,"abc",543,0.41,0.65,0.6,0.81,0.62,NULL
147586,"abc",591,0.47,0.65,0.6,0.81,0.74,NULL
148131,"abc",558,0.41,0.65,0.6,0.81,0.62,NULL
149324,"abc",597,0.47,0.65,0.6,0.81,0.74,NULL
150026,"abc",560,0.41,0.65,0.6,0.81,0.62,NULL
150661,"abc",539,0.41,0.65,0.6,0.81,0.62,NULL
