,id,per_num,year,ID_card,level,breed_year,equip_breed,land_year,land_size,channel,channel_num,sale_income,county_id,town_id,village_id,helper_unit,plan_time,help_industry,industrial_scale,tech_project,income,out_poverty,status
52,640277,5,2016,43,3,,,,,,,,513434000000,513434203000,513434203208,,,农牧林果,5头5亩,,1300.0,640277,1
53,1591487,3,2014,60,1,,,,,,,,511528000000,511528202000,511528202210,,,,,,1473.0,1591487,1
54,1746919,3,2016,27,1,,,,,,,,511781000000,511781109000,511781109201,水田坝,2017,种植、养殖,生猪养殖2头,技术支撑,8666.0,1746919,1
55,494949,3,2017,68,1,,,,,,,,511129000000,511129205000,511129205205,,,,,,1089.7290192113246,494949,1
56,1073358,4,2015,4,1,,,,,,,,513327000000,513327207000,513327207206,,,,,,1629.0,1073358,1
57,1387416,5,2017,92,1,,,,,,,,510823000000,510823122000,510823122202,,未脱贫,,,,1089.7290192113246,1387416,-1
58,1034655,3,2017,57,3,,,,,,,,510904000000,510904108000,510904108219,,,,,,1089.7290192113246,1034655,1
59,1644303,4,2016,5,1,,,,,,,,511723000000,511723101000,511723101203,,,种养殖,,,3725.0,1644303,1
60,1035404,3,2017,65,3,,,,,,,,510904000000,510904201000,510904201202,,,,,,1089.7290192113246,1035404,1
61,261096,7,2016,56,1,,,,,,,,513435000000,513435101000,513435101210,农牧局,2018,种养殖业,1亩核桃50只鹅,,2141.0,261096,1
62,1465621,4,2017,9,1,,,,,,,,513329000000,513329208000,513329208208,,,,,,1089.7290192113246,1465621,1
63,447040,4,2016,25,2016年,,,,,,,,510522000000,510522116000,510522116207,,,,,,1089.7290192113246,447040,1
64,1572067,3,2017,32,1,,,,,,,,511924000000,511924102000,511924102013,,,,,,1089.7290192113246,1572067,1
65,902510,3,2015,57,1,,,,,,,,511921000000,511921101000,511921101207,,,,,,1800.0,902510,1
66,635468,8,2016,38,3,,,,,,,,513434000000,513434235000,513434235202,,,农牧林果,5头5亩,,2150.0,635468,1
67,1279513,5,2014,33,1,,,,,,,,511724000000,511724203000,511724203202,,,,,,1089.7290192113246,1279513,1
69,1741316,7,2017,74,2,,,,,,,,511902000000,511902105000,511902105201,,,,,,1089.7290192113246,1741316,1
70,1308562,3,2014,29,1,,,,,,,,510823000000,510823208000,510823208205,,2014年,,,,1089.7290192113246,1308562,-1
71,671682,3,2017,84,1,,,,,,,,513321000000,513321217000,513321217213,,,,,,1089.7290192113246,671682,1
72,1625309,3,2017,55,1,,,,,,,,511921000000,511921113000,511921113217,,,种养殖业,,,1089.7290192113246,1625309,1
73,701528,3,2014,54,3,,,,,,,,510726000000,510726105000,510726105214,,,,,,1089.7290192113246,701528,1
74,1054916,4,2014,44,1,,,,,,,,511903000000,511903204000,511903204207,,,,,,3175.0,1054916,1
75,1019838,5,2017,52,3,,,,,,,,510904000000,510904104000,510904104223,,,,,,1089.7290192113246,1019838,1
76,130760,7,2014,70,2,,,,,,,,510821000000,510821214000,510821214205,旺苍县大两乡农技站,2018,养殖、核桃、中药材等,,四川省科技厅、县委、政府给与的科技项目,1760.0,130760,1
77,688361,7,2016,45,3,,,,,,,,513434000000,513434230000,513434230200,,,农牧林果,5头5亩,,1740.0,688361,1
78,887910,4,2015,39,1,,,,,,,,511921000000,511921103000,511921103220,,,,,,2570.0,887910,1
79,1214044,4,2014,57,1,,,,,,,,510823000000,510823114000,510823114206,,2014年,,,,1089.7290192113246,1214044,-1
80,1641799,4,2016,38,1,,,,,,,,511723000000,511723205000,511723205208,,,种养殖,,,3890.0,1641799,1
81,848390,6,2015,46,2,,,,,,,,511902000000,511902005000,511902005208,,,,,,1089.7290192113246,848390,1
82,1017389,2,2017,70,3,,,,,,,,510904000000,510904101000,510904101229,,,,,,1089.7290192113246,1017389,1
