"id","name","score","character","appointment","history","stickiness","relations","analyze"
640277,"abc",628,0.8144,0.65,0.6,0.81,0.62,NULL
635687,"abc",628,0.6,0.65,0.6,0.81,0.74,NULL
1644404,"abc",628,0.58,0.72,0.7,0.81,0.64,NULL
986255,"abc",628,0.6,0.65,0.6,0.81,0.74,NULL
1715890,"abc",628,0.6,0.65,0.6,0.81,0.74,NULL
173495,"abc",628,0.7888,0.65,0.6,0.81,0.62,NULL
815544,"abc",628,0.6,0.65,0.6,0.81,0.74,NULL
423882,"abc",628,0.6,0.65,0.6,0.81,0.74,NULL
1180921,"abc",628,0.66,0.72,0.7,0.57,0.76,NULL
418052,"abc",627,0.66,0.72,0.7,0.81,0.76,NULL
1512722,"abc",627,0.6,0.65,0.6,0.81,0.74,NULL
377883,"abc",627,0.6,0.65,0.6,0.81,0.74,NULL
1669933,"abc",627,0.7064,0.72,0.7,0.81,0.58,NULL
788025,"abc",627,0.66,0.72,0.7,0.57,0.76,NULL
986982,"abc",627,0.8144,0.65,0.6,0.81,0.62,NULL
1594770,"abc",627,0.6,0.65,0.6,0.81,0.74,NULL
566453,"abc",627,0.6,0.65,0.6,0.81,0.74,NULL
144568,"abc",627,0.7888,0.65,0.6,0.81,0.62,NULL
434109,"abc",627,0.6,0.65,0.6,0.81,0.74,NULL
1716461,"abc",627,0.6,0.65,0.6,0.81,0.74,NULL
1783333,"abc",626,0.6,0.65,0.6,0.81,0.74,NULL
1636039,"abc",626,0.6,0.65,0.6,0.81,0.74,NULL
647411,"abc",626,0.9,0.72,0.7,0.57,0.64,NULL
940084,"abc",625,0.66,0.72,0.7,0.81,0.76,NULL
1763248,"abc",625,0.6,0.65,0.6,0.81,0.74,NULL
1762916,"abc",624,0.58,0.72,0.7,0.81,0.64,NULL
690332,"abc",624,0.664,0.65,0.6,0.81,0.74,NULL
1664221,"abc",624,0.7888,0.65,0.6,0.81,0.62,NULL
552719,"abc",623,0.8272,0.65,0.6,0.81,0.62,NULL
727882,"abc",623,0.8688,0.65,0.6,0.57,0.74,NULL
522603,"abc",623,0.8104,0.72,0.7,0.57,0.64,NULL
1617518,"abc",623,0.6696,0.72,0.7,0.81,0.64,NULL
565700,"abc",623,0.6,0.65,0.6,0.81,0.74,NULL
652245,"abc",623,0.6,0.65,0.6,0.81,0.74,NULL
1766872,"abc",623,0.6,0.65,0.6,0.81,0.74,NULL
1720045,"abc",623,0.6,0.65,0.6,0.81,0.74,NULL
933104,"abc",623,0.776,0.65,0.6,0.81,0.62,NULL
564734,"abc",623,0.6,0.65,0.6,0.81,0.74,NULL
1760563,"abc",622,0.6,0.65,0.6,0.81,0.74,NULL
631864,"abc",622,0.712,0.65,0.6,0.81,0.62,NULL
170588,"abc",622,0.6,0.65,0.6,0.81,0.74,NULL
1775266,"abc",622,0.58,0.72,0.7,0.81,0.64,NULL
606968,"abc",622,0.6,0.65,0.6,0.81,0.74,NULL
527892,"abc",621,0.9072,0.65,0.6,0.57,0.74,NULL
145965,"abc",621,0.6,0.65,0.6,0.81,0.74,NULL
142401,"abc",621,0.6,0.65,0.6,0.81,0.74,NULL
1760378,"abc",621,0.58,0.72,0.7,0.81,0.64,NULL
630149,"abc",621,0.6,0.65,0.6,0.81,0.74,NULL
684210,"abc",621,0.66,0.72,0.7,0.57,0.76,NULL
623842,"abc",621,0.8272,0.65,0.6,0.81,0.62,NULL
767281,"abc",620,0.66,0.72,0.7,0.57,0.76,NULL
127339,"abc",620,0.6,0.65,0.6,0.81,0.74,NULL
1702048,"abc",620,0.6,0.65,0.6,0.81,0.74,NULL
20534,"abc",619,0.736,0.65,0.6,0.81,0.56,NULL
1748564,"abc",619,0.58,0.72,0.7,0.81,0.64,NULL
765040,"abc",619,0.66,0.72,0.7,0.57,0.76,NULL
415635,"abc",619,0.6,0.65,0.6,0.81,0.74,NULL
686561,"abc",619,0.6,0.65,0.6,0.81,0.74,NULL
688361,"abc",619,0.8,0.65,0.6,0.81,0.56,NULL
144134,"abc",618,0.7504,0.65,0.6,0.81,0.62,NULL
728403,"abc",618,0.8872,0.72,0.7,0.57,0.64,NULL
685396,"abc",618,0.66,0.72,0.7,0.57,0.76,NULL
893013,"abc",618,0.8688,0.65,0.6,0.57,0.74,NULL
254354,"abc",618,0.6,0.65,0.6,0.81,0.74,NULL
265134,"abc",618,0.7504,0.65,0.6,0.81,0.62,NULL
1611542,"abc",617,0.84,0.65,0.6,0.81,0.62,NULL
142460,"abc",617,0.6,0.65,0.6,0.81,0.74,NULL
1724052,"abc",617,0.6,0.65,0.6,0.81,0.74,NULL
1783993,"abc",617,0.54,0.72,0.7,0.81,0.58,NULL
1817390,"abc",616,0.6,0.65,0.6,0.81,0.74,NULL
556669,"abc",616,0.6,0.65,0.6,0.81,0.74,NULL
168107,"abc",616,0.6,0.65,0.6,0.81,0.74,NULL
1594294,"abc",616,0.6,0.65,0.6,0.81,0.74,NULL
941145,"abc",615,0.7632,0.65,0.6,0.81,0.62,NULL
907445,"abc",615,0.6,0.65,0.6,0.81,0.74,NULL
264923,"abc",615,0.7872,0.65,0.6,0.81,0.56,NULL
1680142,"abc",614,0.58,0.72,0.7,0.81,0.64,NULL
566542,"abc",614,0.6,0.65,0.6,0.81,0.74,NULL
1069018,"abc",614,0.7632,0.65,0.6,0.81,0.62,NULL
133085,"abc",614,0.6,0.65,0.6,0.81,0.74,NULL
1514734,"abc",614,0.6,0.65,0.6,0.81,0.74,NULL
1784047,"abc",614,0.58,0.72,0.7,0.81,0.64,NULL
1661185,"abc",613,0.58,0.72,0.7,0.81,0.64,NULL
1562663,"abc",613,0.6,0.65,0.6,0.81,0.74,NULL
147586,"abc",613,0.6,0.65,0.6,0.81,0.74,NULL
380358,"abc",613,0.6,0.65,0.6,0.81,0.74,NULL
1752801,"abc",613,0.6,0.65,0.6,0.81,0.74,NULL
262389,"abc",613,0.7536,0.65,0.6,0.81,0.74,NULL
1760773,"abc",612,0.6,0.65,0.6,0.81,0.74,NULL
437280,"abc",612,0.6608,0.65,0.6,0.81,0.62,NULL
1821754,"abc",612,0.6,0.65,0.6,0.81,0.74,NULL
255894,"abc",612,0.6,0.65,0.6,0.81,0.74,NULL
1794242,"abc",612,0.58,0.72,0.7,0.81,0.64,NULL
807641,"abc",612,0.54,0.72,0.7,0.81,0.58,NULL
379271,"abc",611,0.84,0.65,0.6,0.81,0.62,NULL
1594513,"abc",611,0.58,0.72,0.7,0.81,0.64,NULL
232648,"abc",611,0.66,0.72,0.7,0.57,0.76,NULL
1549535,"abc",611,0.6,0.65,0.6,0.81,0.74,NULL
1761262,"abc",611,0.6,0.65,0.6,0.81,0.74,NULL
438323,"abc",610,0.6,0.65,0.6,0.81,0.74,NULL
418875,"abc",610,0.6,0.65,0.6,0.81,0.74,NULL
915633,"abc",610,0.66,0.72,0.7,0.57,0.76,NULL
515530,"abc",610,0.7632,0.65,0.6,0.81,0.62,NULL
1720075,"abc",609,0.6,0.65,0.6,0.81,0.74,NULL
795942,"abc",609,0.8616,0.72,0.7,0.57,0.64,NULL
1513021,"abc",609,0.84,0.65,0.6,0.81,0.62,NULL
564087,"abc",609,0.6,0.65,0.6,0.81,0.74,NULL
798840,"abc",609,0.8176,0.65,0.6,0.57,0.74,NULL
137867,"abc",609,0.6,0.65,0.6,0.81,0.74,NULL
1720231,"abc",609,0.6,0.65,0.6,0.81,0.74,NULL
555772,"abc",609,0.7872,0.65,0.6,0.81,0.56,NULL
692479,"abc",609,0.7872,0.65,0.6,0.81,0.56,NULL
1552410,"abc",608,0.736,0.65,0.6,0.81,0.56,NULL
140421,"abc",608,0.6,0.65,0.6,0.81,0.74,NULL
748739,"abc",608,0.66,0.72,0.7,0.57,0.76,NULL
125636,"abc",608,0.6,0.65,0.6,0.81,0.74,NULL
943832,"abc",608,0.6,0.65,0.6,0.81,0.74,NULL
421598,"abc",608,0.66,0.72,0.7,0.57,0.76,NULL
966661,"abc",607,0.7872,0.65,0.6,0.81,0.56,NULL
176917,"abc",607,0.6,0.65,0.6,0.81,0.74,NULL
1752857,"abc",607,0.6,0.65,0.6,0.81,0.74,NULL
501039,"abc",607,0.84,0.65,0.6,0.57,0.62,NULL
557462,"abc",607,0.6,0.65,0.6,0.81,0.74,NULL
562863,"abc",607,0.6608,0.65,0.6,0.81,0.62,NULL
623583,"abc",607,0.58,0.72,0.7,0.81,0.64,NULL
1636074,"abc",607,0.6,0.65,0.6,0.81,0.74,NULL
1589758,"abc",607,0.66,0.72,0.7,0.57,0.76,NULL
142643,"abc",606,0.6,0.65,0.6,0.81,0.74,NULL
622192,"abc",606,0.7504,0.65,0.6,0.81,0.62,NULL
658561,"abc",606,0.6,0.65,0.6,0.81,0.74,NULL
1635750,"abc",606,0.6,0.65,0.6,0.81,0.74,NULL
129202,"abc",606,0.6,0.65,0.6,0.81,0.74,NULL
1811124,"abc",606,0.6,0.65,0.6,0.81,0.74,NULL
1633990,"abc",606,0.8144,0.65,0.6,0.81,0.62,NULL
1657452,"abc",605,0.7632,0.65,0.6,0.81,0.62,NULL
1174389,"abc",605,0.8304,0.65,0.6,0.57,0.74,NULL
580799,"abc",605,0.6,0.65,0.6,0.81,0.74,NULL
