,id,per_num,breed_year,equip_breed,land_year,land_size,channel,channel_num,sale_income,city_id,county_id,town_id,village_id,phone_num,helper_number,income,input_user,check_status,status,city_recorder,county_recorder
count,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,3000.0,3000.0,3000.0,0.0,427.0,3000.0,17.0,3000.0,3000.0,0.0,0.0
mean,987479.1263333333,3.754,,,,,,,,511662933333.3333,511684514333.3333,511684514333.3333,511684514333.3333,,14831253716.653397,1417.7495133333334,33300.76470588235,0.0,0.7946666666666666,,
std,533722.2875496983,1.7034625311009794,,,,,,,,924206388.2262635,927062999.8709898,927062999.8709898,927062999.8709898,,3060737110.055051,18332.601202617483,16133.097275203434,0.0,0.6071472348701692,,
min,18372.0,1.0,,,,,,,,510500000000.0,510522000000.0,510522000000.0,510522000000.0,,1345823308.0,0.0,18920.0,0.0,-1.0,,
25%,557456.5,2.0,,,,,,,,510800000000.0,510823750000.0,510823750000.0,510823750000.0,,13778788866.5,0.0,18921.0,0.0,1.0,,
50%,998161.5,4.0,,,,,,,,511700000000.0,511702000000.0,511702000000.0,511702000000.0,,13990471035.0,0.0,31939.0,0.0,1.0,,
75%,1431492.75,5.0,,,,,,,,511900000000.0,511921000000.0,511921000000.0,511921000000.0,,15955495097.5,2260.5,31940.0,0.0,1.0,,
max,1910155.0,13.0,,,,,,,,513400000000.0,513437000000.0,513437000000.0,513437000000.0,,18990474198.0,999999.99,64417.0,0.0,1.0,,
